#         z   CSFRD_delta_Mstar   CSFRD_rho_Mstar   SMF_rho_Mstar  
   0.000000        3.072166e+06      2.484414e+08    2.565504e+08  
   0.050154        3.437471e+06      2.453692e+08    2.535626e+08  
   0.102823        3.836168e+06      2.419317e+08    2.494968e+08  
   0.158134        4.269096e+06      2.380956e+08    2.473560e+08  
   0.216219        4.736599e+06      2.338265e+08    2.427240e+08  
   0.277217        5.238382e+06      2.290899e+08    2.366647e+08  
   0.341274        5.773323e+06      2.238515e+08    2.306220e+08  
   0.408544        6.339234e+06      2.180782e+08    2.248697e+08  
   0.479188        6.932540e+06      2.117389e+08    2.193646e+08  
   0.553375        7.547865e+06      2.048064e+08    2.129391e+08  
   0.631282        8.177507e+06      1.972585e+08    2.051046e+08  
   0.713097        8.810828e+06      1.890810e+08    1.965508e+08  
   0.799016        9.433571e+06      1.802702e+08    1.875442e+08  
   0.889243        1.002725e+07      1.708366e+08    1.778922e+08  
   0.983996        1.056876e+07      1.608094e+08    1.675698e+08  
   1.083501        1.103057e+07      1.502406e+08    1.566391e+08  
   1.187996        1.138181e+07      1.392100e+08    1.452230e+08  
   1.297733        1.159067e+07      1.278282e+08    1.334761e+08  
   1.412973        1.162825e+07      1.162376e+08    1.215198e+08  
   1.533993        1.147347e+07      1.046093e+08    1.094702e+08  
   1.661082        1.111818e+07      9.313583e+07    9.748845e+07  
   1.794545        1.057079e+07      8.201766e+07    8.580147e+07  
   1.934702        9.857027e+06      7.144687e+07    7.474082e+07  
   2.081889        9.016997e+06      6.158984e+07    6.450481e+07  
   2.236457        8.099176e+06      5.257285e+07    5.510417e+07  
   2.398778        7.153116e+06      4.447367e+07    4.656900e+07  
   2.569240        6.222934e+06      3.732055e+07    3.908081e+07  
   2.748251        5.343059e+06      3.109762e+07    3.264433e+07  
   2.936240        4.536678e+06      2.575456e+07    2.709198e+07  
   3.133657        3.816388e+06      2.121788e+07    2.232409e+07  
   3.340976        3.186159e+06      1.740150e+07    1.830642e+07  
   3.558692        2.643746e+06      1.421534e+07    1.497240e+07  
   3.787328        2.182964e+06      1.157159e+07    1.221055e+07  
   4.027431        1.795523e+06      9.388626e+06    9.925561e+06  
   4.279576        1.472350e+06      7.593103e+06    8.043949e+06  
   4.544366        1.204464e+06      6.120753e+06    6.502136e+06  
   4.822437        9.834789e+05      4.916289e+06    5.240907e+06  
   5.114455        8.018682e+05      3.932810e+06    4.210626e+06  
   5.421118        6.530496e+05      3.130942e+06    3.370638e+06  
   5.743162        5.313765e+05      2.477893e+06    2.686597e+06  
   6.081357        4.320711e+05      1.946516e+06    2.129848e+06  
   6.436514        3.511311e+05      1.514445e+06    1.677149e+06  
   6.809483        2.852295e+05      1.163314e+06    1.309253e+06  
   7.201159        2.316164e+05      8.780844e+05    1.010352e+06  
   7.612478        1.880286e+05      6.464679e+05    7.676600e+05  
   8.044427        1.526093e+05      4.584393e+05    5.705391e+05  
   8.498039        1.238393e+05      3.058301e+05    4.107529e+05  
   8.974402        1.004778e+05      1.819908e+05    2.807202e+05  
   9.474656        8.151298e+04      8.151298e+04    1.761105e+05  
  10.000000        0.000000e+00      0.000000e+00    0.000000e+00  
